id,item,price,date,time,quantity
158,Outdoor Camping Hammock,29.99,1/13/2024,1:43 PM,16
159,Non-Stick Baking Sheets,29.99,3/3/2024,9:09 AM,15
160,Adjustable Pet Grooming Table,109.99,3/28/2024,4:04 AM,30
161,LED Strip Lights Kit,29.99,11/3/2024,7:16 AM,20
162,Watering Can with Nozzle,19.99,8/8/2024,2:53 AM,9
163,Weighted Jump Rope,15.99,3/29/2024,11:46 PM,8
164,Children's Backpack,29.99,7/9/2024,11:22 PM,7
165,Coconut Cream Pie Yogurt,1.99,1/5/2025,8:09 AM,21
166,Sliced Turkey Breast,5.49,6/17/2024,8:24 PM,20
167,Adjustable Kitchen Broom Stand,14.99,12/16/2024,9:53 PM,29
168,Classic Chicken Noodle Soup,3.49,7/29/2024,8:01 PM,18
169,Classic BBQ Sauce,2.79,2/27/2024,11:51 PM,7
170,Folding Table,59.99,11/16/2024,9:18 PM,24
171,Chocolate Chip Muffins,3.99,1/13/2024,12:15 PM,6
172,Computer Monitor Stand,29.99,8/4/2024,11:24 AM,26
173,Greek Yogurt,1.99,1/21/2024,10:12 PM,15
174,Pumpkin Spice Coffee,7.99,11/30/2024,1:16 PM,16
175,Buffalo Stilton Cheese,8.99,12/17/2024,12:34 AM,2
176,Solar String Lights,29.99,6/2/2024,6:54 PM,6
177,Barbecue Chicken Pizza,8.99,12/8/2024,3:22 PM,3
178,Vegetarian Stir Fry Sauce,2.49,4/17/2024,1:48 AM,17
179,Almond Flour Pizza Crust,7.99,12/25/2024,12:03 AM,19
180,Portable Speakers,69.99,4/28/2024,10:29 AM,3
181,Vegetable Stir-Fry Kit,6.99,1/7/2025,7:20 AM,18
182,Crispy Potato Tots,3.69,10/15/2024,2:54 PM,25
183,Honey BBQ Riblets,12.99,10/12/2024,10:41 PM,20
184,Fitness Jump Box,69.99,3/17/2024,12:36 PM,19
185,Electric Meat Grinder,89.99,11/20/2024,1:57 AM,1
186,Dog Training Clicker,5.99,12/8/2024,4:47 AM,18
187,Couscous Mix,2.49,10/15/2024,12:55 PM,16
188,Savory Oats,2.49,6/5/2024,1:34 PM,13
189,Portable Campfire,39.99,9/16/2024,4:20 AM,9
190,Digital Bullet Journal,24.99,12/19/2024,4:04 PM,13
191,Eco-Friendly Cleaning Cloths,12.99,1/18/2025,8:27 AM,6
192,Spaghetti Sauce,2.99,12/13/2024,1:30 PM,15
193,Biodegradable Dog Waste Bags,14.99,9/21/2024,8:04 AM,26
194,Organic Italian Seasoning,2.99,7/28/2024,10:24 AM,6
195,Granola,4.79,8/7/2024,8:03 AM,21
196,Compact Portable Grill,79.99,1/21/2024,1:04 AM,25
197,Portable Solar Path Lights,39.99,12/28/2024,1:28 PM,8
198,Foldable Electric Scooter,349.99,2/7/2024,8:40 PM,16
199,Granola,4.79,8/14/2024,12:08 PM,19
200,Gardening Gloves,15.99,7/14/2024,7:12 AM,9
201,Wild Rice & Quinoa Mix,2.99,8/24/2024,3:44 AM,9
202,Balsamic Salad Dressing,2.99,6/29/2024,8:50 PM,6
203,Vegetable Spiralizer,19.99,2/2/2024,12:09 AM,16
204,Hand Mixer,29.99,12/10/2024,7:34 PM,23
205,Slim Fit Chinos,54.99,5/28/2024,9:54 PM,13
206,Garam Masala Spice Blend,2.79,10/22/2024,9:53 PM,15
207,Essential Oil Diffuser,34.99,1/9/2024,10:15 PM,12
208,Folding Table,59.99,9/16/2024,5:39 AM,28
209,Foam Building Blocks for Kids,22.99,6/14/2024,5:03 AM,4
210,Fresh Basil,1.99,8/9/2024,8:37 AM,5
211,USB Desk Fan,14.99,12/22/2024,12:17 AM,17
212,Granola Bars,4.99,1/1/2024,10:33 PM,18
213,Chino Shorts,34.99,5/6/2024,8:42 AM,25
214,Ice Pack,8.99,6/27/2024,6:56 PM,17
215,Sour Cream,3.49,11/10/2024,4:27 PM,18
216,Solar Garden Lights,39.99,10/20/2024,3:40 AM,26
217,Eco-Friendly Notepad,8.99,1/14/2024,2:45 AM,8
218,Watering Can with Nozzle,19.99,1/2/2025,5:02 AM,6
219,Home Karaoke System,129.99,12/27/2024,8:07 AM,20
220,Camping Chair with Cooler,49.99,12/28/2024,3:40 AM,20
221,Toasted Coconut Granola,4.99,6/16/2024,3:27 AM,21
222,Graphic Sweatshirt,34.99,1/25/2024,7:01 PM,4
223,Lentil Pasta,4.99,5/11/2024,9:06 AM,8
224,Asian Salad Mix,3.99,1/10/2024,9:43 PM,22
225,Portable Bluetooth Keyboard,39.99,12/18/2024,7:12 PM,9
226,Spaghetti and Meatball Dinner Kit,7.99,11/17/2024,2:19 PM,5
227,Vintage Button-Down Shirt,45.99,1/21/2025,4:42 PM,3
228,Cranberry Pecan Granola,3.99,7/28/2024,12:01 AM,7
229,Heat-Resistant Silicone Mat,19.99,3/30/2024,10:10 PM,7
230,Chicken Breasts,9.99,4/13/2024,11:31 AM,8
231,Organic Almonds,8.99,3/21/2024,12:40 AM,18
232,Feta Cheese,4.99,12/13/2024,4:34 PM,20
233,Board Game,34.99,5/1/2024,1:17 AM,12
234,Sunflower Seeds,2.99,5/27/2024,9:13 PM,7
235,Electric Skillet,49.99,12/9/2024,11:51 AM,11
236,Zesty Garlic Hummus,3.99,2/19/2024,7:29 AM,22
237,Microwave Popcorn Maker,19.99,5/11/2024,2:42 PM,9
238,Basil Pesto Pasta,6.49,1/12/2025,11:21 AM,22
239,Mashed Sweet Potatoes,3.99,5/24/2024,10:54 PM,4
240,Patterned Knit Scarf,25.99,1/21/2025,12:54 PM,6
241,Teriyaki Salmon Fillets,9.99,3/14/2024,11:00 PM,5
242,Paint By Numbers Kit,24.99,11/4/2024,8:39 AM,24
243,Graphic Sweatshirt,34.99,2/1/2024,2:29 PM,29
244,Wireless Charger,24.99,2/24/2024,3:36 PM,19
245,Beet Salad,3.99,1/12/2025,12:58 AM,27
246,Basil Pesto Pasta,6.49,1/26/2024,10:41 PM,14
247,Butternut Squash Soup,3.49,11/23/2024,10:13 AM,18
248,Coconut Macaroons,4.99,12/18/2024,7:40 AM,10
249,Maple Cinnamon Granola Bars,3.49,2/2/2024,5:02 PM,7
250,Portable Refrigerator Freezer,299.99,7/6/2024,1:00 PM,1
251,Organic Black Beans,1.29,8/4/2024,8:20 PM,15
252,Coconut Oil Spray,4.99,7/31/2024,5:30 AM,19
253,Rice Cakes,2.29,4/18/2024,2:52 AM,19
254,Rice Noodles,3.49,4/15/2024,4:15 AM,3
255,Chili Garlic Sauce,2.49,9/10/2024,4:28 PM,19
256,Almond Milk Yogurt,1.99,4/27/2024,11:17 AM,7
257,Low-Fat Yogurt,3.29,1/10/2024,9:46 AM,5
258,Fridge Magnet Set,15.99,12/30/2024,2:04 PM,30
259,Vegetable Pizza Rolls,6.49,1/14/2025,6:08 PM,24
260,Self-Cleaning Cat Litter Box,199.99,1/7/2025,3:56 AM,9
261,BBQ Lentil Chips,3.49,2/17/2024,7:58 PM,6
262,Cotton Quilted Throw Blanket,39.99,8/3/2024,3:50 AM,12
263,Organic Coconut Yogurt,4.49,4/22/2024,5:01 PM,27
264,Peanut Butter Chocolate Clusters,2.99,11/23/2024,5:01 AM,4
265,Gardening Tools Set,45,11/19/2024,12:31 PM,17
266,Magnetic Phone Car Mount,14.99,3/30/2024,8:25 AM,5
267,Cocoa Powder,3.99,7/14/2024,4:49 PM,13
268,Baby Safety Corner Guards,9.99,7/31/2024,2:32 PM,2
269,Rainbow Veggie Chips,3.29,7/21/2024,3:24 PM,5
270,Asian Stir-Fry Vegetables,2.99,6/30/2024,1:58 AM,17
271,LED Desk Lamp,35,3/8/2024,5:02 AM,29
272,Rustic Italian Breads,3.99,5/19/2024,5:57 PM,2
273,Honey Roasted Almonds,4.99,7/16/2024,2:14 AM,24
274,Tofu,2.49,9/3/2024,9:48 AM,8
275,Cork Yoga Mat,39.99,3/23/2024,6:20 AM,30
276,Ice Cream,5.99,1/29/2025,5:09 AM,18
277,Puzzle,27.99,7/15/2024,6:54 PM,13
278,Multi-Layer Food Steamer,39.99,7/2/2024,12:11 AM,21
279,Mini Food Processor,39.99,8/21/2024,10:22 AM,19
280,Teriyaki Sauce,2.99,11/29/2024,8:36 AM,4
281,Classic Cheeseburger Mix,5.49,1/26/2025,3:27 PM,14
282,Chocolate Coconut Granola,3.79,12/21/2024,12:43 AM,20
283,Adjustable Laptop Desk,59.99,4/13/2024,8:04 AM,7
284,Tactical Backpack,59.99,11/2/2024,10:11 PM,26
285,Sesame Garlic Noodles,3.49,5/3/2024,7:25 AM,17
286,Indestructible Dog Toy,15.99,7/17/2024,12:03 PM,30
287,Granulated Sugar,2.49,5/3/2024,11:35 PM,6
288,Stainless Steel Travel Mug,19.99,1/6/2024,9:14 PM,16
289,Electric Pressure Washer,199.99,2/18/2024,8:22 PM,17
290,Smart Air Purifier,199.99,10/23/2024,5:01 AM,29
291,Roasted Garlic,4.29,11/13/2024,11:45 PM,28
292,Noise-Canceling Earbuds,79.99,11/12/2024,10:06 AM,17
293,Chipotle Sauce,3.29,11/30/2024,2:32 AM,16
294,Rechargeable Laptop Battery Pack,49.99,6/23/2024,8:37 AM,22
295,High-Quality Yoga Mat,34.99,12/26/2024,2:11 PM,25
296,Chic Ankle Strap Heels,69.99,10/20/2024,9:55 AM,22
297,Puzzle,27.99,2/16/2024,9:45 PM,26
298,High-Low Hem Tee,22.99,11/3/2024,10:16 AM,8
299,Pomegranate Juice,4.49,11/8/2024,6:47 AM,11
300,Cat Tree with Scratching Posts,79.99,5/8/2024,6:47 PM,27
301,Gluten-Free Bread,5.49,8/28/2024,10:17 PM,21
302,Vegetable Chips,3.99,2/2/2024,2:19 PM,18
303,Beef Stroganoff Mix,5.49,11/2/2024,6:14 PM,24
304,Frozen Mixed Berries,5.99,9/8/2024,9:59 PM,10
305,Quinoa and Kale Salad Kit,5.29,1/3/2025,10:19 PM,14
306,Italian Breadsticks,2.49,8/28/2024,12:24 AM,3
307,Whole Roasted Chicken,9.99,5/4/2024,6:57 AM,17
308,Whole Wheat Pasta,2.49,1/26/2025,4:50 AM,2
309,Travel Yoga Mat,34.99,2/9/2024,3:27 PM,26
310,Dog Waste Bag Dispenser,6.99,5/14/2024,8:56 AM,7
311,Sunglasses Case,15.99,1/4/2024,10:30 AM,5
312,Vegetarian Pizza,5.49,5/29/2024,7:12 PM,4
313,Herbal Tea Variety Pack,4.99,2/24/2024,7:53 AM,21
314,Garlic Herb Marinade,3.29,6/5/2024,5:07 AM,13
315,Garlic Naan Bread,3.99,3/6/2024,4:01 AM,20
316,Kids' Dinosaur-Themed Lunchbox,19.99,2/17/2024,8:20 AM,7
317,Kids' Activity Book,14.99,12/14/2024,8:27 AM,23
318,Balsamic Vinaigrette,2.69,8/20/2024,9:51 PM,6
319,LED Makeup Mirror,39.99,2/5/2024,8:57 PM,13
320,Vegan Tacos,7.49,2/9/2024,6:55 AM,28
321,Set of Decorative Storage Bins,34.99,4/29/2024,4:44 PM,4
322,Fried Rice,4.29,6/8/2024,11:19 AM,20
323,Sweet Chili Sauce,2.99,5/22/2024,5:57 AM,18
324,Maple Glazed Carrots,3.29,7/28/2024,6:16 PM,27
325,V-Neck Sweater,49.99,10/13/2024,4:59 PM,10
326,Fashionable Fanny Pack,24.99,5/10/2024,7:38 AM,13
327,Digital Wireless Meat Thermometer,39.99,7/19/2024,4:23 AM,25
328,Ranch Dressing,2.59,10/12/2024,12:19 AM,21
329,Ergonomic Gaming Chair,199.99,4/17/2024,1:37 PM,18
330,Electric Can Opener,29.99,11/14/2024,12:22 PM,27
331,Electric Kettle with Temperature Control,49.99,1/15/2025,2:06 AM,19
332,Classic Bagels,2.99,5/19/2024,3:37 PM,14
333,Sunglasses Case,15.99,1/11/2024,1:54 AM,7
334,Stuffed Grape Leaves,5.79,8/12/2024,6:43 PM,8
335,Handcrafted Wooden Coasters,19.99,5/23/2024,5:56 AM,17
336,Wrap Jumpsuit,54.99,9/8/2024,3:31 PM,15
337,Peach Fruit Cups,1.99,11/20/2024,9:44 PM,2
338,Almond Flour Pancake Mix,5.99,8/28/2024,7:19 AM,13
339,Artisan Pickles,2.49,1/1/2024,12:43 AM,25
340,Children's Backpack,29.99,11/21/2024,9:45 PM,5
341,Beef Stew Meat,5.99,9/14/2024,8:19 AM,12
342,Smart Thermos,39.99,9/5/2024,5:46 AM,16
343,Stylish Combat Boots,99.99,7/13/2024,4:27 PM,19
344,Truffle Parmesan Fries,4.99,8/25/2024,3:30 AM,1
345,High-Low Hem Tee,22.99,4/15/2024,7:53 AM,18
346,Noise Cancelling Ear Muffs,24.99,6/11/2024,12:15 AM,1
347,Sliced Provolone Cheese,3.99,5/6/2024,8:25 PM,24
348,Coconut Rice,2.29,4/30/2024,3:02 AM,9
349,Outdoor Camping Lantern,34.99,10/23/2024,2:43 PM,8
350,Fitness Foam Roller,29.99,11/16/2024,9:33 AM,1
351,Beef Jerky,5.99,9/20/2024,8:52 AM,19
352,Vegan Tacos,7.49,10/24/2024,9:11 PM,1
353,Inspirational Wall Art,24.99,11/20/2024,1:46 AM,9
354,Vegan Taco Seasoning,2.49,9/11/2024,11:17 AM,12
355,Creative Puzzle Game,19.99,11/5/2024,9:59 AM,14
356,Electric Screwdriver,59.99,11/16/2024,11:57 PM,14
357,Cinnamon Sugar Tortilla Chips,3.29,11/10/2024,9:31 AM,1
358,Glass Tea Pot,34.99,3/4/2024,1:57 PM,5
359,Electric Milk Frother,19.99,5/26/2024,12:15 AM,18
360,Incense Holder,14.99,1/11/2024,11:17 AM,30
361,Spinach and Feta Wraps,4.99,5/31/2024,2:23 PM,23
362,Gardening Kneeler and Seat,39.99,1/11/2024,4:34 AM,7
363,Italian Meatballs,8.49,2/11/2024,11:54 AM,30
364,LED Desk Lamp with USB Charging Port,29.99,9/22/2024,9:14 PM,18
365,Interactive Robot Toy,34.99,9/30/2024,3:39 AM,16
366,Wireless Charging Pad,19.99,7/14/2024,7:16 AM,17
367,Banana Nut Oatmeal Cups,2.99,10/16/2024,3:43 PM,30
368,Portable Solar Path Lights,39.99,9/6/2024,4:58 PM,29
369,Sweet and Spicy Barbecue Sauce,3.99,4/26/2024,11:57 AM,18
370,Ice Cream Maker,79.99,12/3/2024,4:15 AM,16
371,Smart WiFi Plug,19.99,1/27/2024,4:42 AM,8
372,Wireless Car Charger,24.99,10/17/2024,9:09 AM,26
373,Fitness Tracker,49.99,2/25/2024,1:22 PM,7
374,Garden Vegetable Chips,3.49,9/8/2024,2:40 AM,24
375,Children's Gardening Set,19.99,7/27/2024,2:52 PM,21
376,Coconut Milk Yogurt,2.99,12/6/2024,3:18 AM,8
377,Organic Honeycrisp Apples,1.99,1/15/2024,3:41 PM,22
378,Cat Tree with Scratching Posts,79.99,6/26/2024,6:40 AM,22
379,Garlic Breadsticks,3.49,6/20/2024,12:50 PM,13
380,Cat Scratching Post with Toys,44.99,7/8/2024,11:58 PM,4
381,Outdoor Adventure Backpack,59.99,2/20/2024,5:17 PM,7
382,Kids' Outdoor Explorer Kit,24.99,7/5/2024,11:40 PM,4
383,Eco-Friendly Yoga Blocks,15.99,1/31/2024,7:02 PM,19
384,LED Flashlight,19.99,9/28/2024,6:43 PM,22
385,Handmade Soap Making Kit,34.99,11/9/2024,6:01 AM,30
386,Smartphone Projector,29.99,2/12/2024,1:48 PM,22
387,Paprika,1.79,1/19/2024,1:19 AM,24
388,Pet Camera with Treat Dispenser,149.99,7/22/2024,5:12 AM,21
389,Car Vacuum,49.99,12/9/2024,3:22 PM,26
390,Chickpea Salad Deluxe,4.29,3/17/2024,3:36 PM,28
391,Wooden Children's Play Kitchen,129.99,8/29/2024,7:33 AM,10
392,Banana Chips,1.99,12/30/2024,12:14 AM,5
393,Classic BBQ Sauce,2.79,5/21/2024,11:34 PM,26
394,Hiking Gaiters,29.99,5/7/2024,12:26 AM,22
395,Jasmine Rice,2.39,1/22/2025,9:42 AM,3
396,Silicone Wine Glasses,22.99,1/11/2024,12:55 PM,11
397,Rice Pilaf Mix,2.59,12/15/2024,8:56 AM,10
398,Belted Trench Coat,89.99,3/7/2024,12:04 AM,26
399,Homemade Salsa,3.79,1/6/2025,1:00 PM,13
400,Microfiber Cleaning Cloths,9.99,1/16/2024,12:30 AM,11
401,Foldable Electric Scooter,349.99,11/13/2024,11:06 AM,20
402,Educational STEM Kit,35.99,2/10/2024,11:06 AM,23
403,Adjustable Resistance Bands,39.99,10/27/2024,2:13 PM,30
404,DIY Candle Making Kit,22.99,8/24/2024,3:53 AM,23
405,Canvas Wall Art,39.99,5/3/2024,7:03 AM,16
406,Slim Fit Chinos,54.99,9/22/2024,10:23 AM,22
407,Sweet Cherry Tomatoes,2.99,10/30/2024,12:44 PM,12
408,Mediterranean Flatbread,3.5,5/27/2024,3:59 AM,22
409,Kitchen Knife Sharpening System,39.99,7/5/2024,11:22 AM,25
410,Plant-Based Meal Prep Containers,18.99,1/15/2025,8:37 AM,12
411,Pumpkin Spice Coffee,7.99,10/16/2024,5:01 PM,16
412,Lockable Bicycle Chain,19.99,3/12/2024,4:16 PM,23
413,Peach & Mango Salsa,4.49,6/14/2024,11:15 PM,27
414,Vanilla Protein Powder,24.99,2/20/2024,5:03 PM,12
415,Balsamic Salad Dressing,2.99,4/4/2024,7:29 PM,11
416,Beef Jerky,5.99,3/23/2024,4:14 PM,25
